count,action,delay,duration,duration_of_vehicles_left,emergency,flickering,num_of_vehicles_at_entering,num_of_vehicles_in_system,num_of_vehicles_left,partial_duration,queue_length,wait_time
20.0, 0, 3.440889107099933, 0.39999999999999997, 0, 0.0, 0, 28, 28, 0, 0, 0, 0.0
21.0, 0, 3.247239763097117, 0.8666666666666667, 0, 0.0, 0, 28, 28, 0, 0, 0, 0.0
22.0, 0, 3.2139870304636813, 1.333333333333334, 0, 0.0, 0, 30, 30, 0, 0, 0, 0.0
23.0, 0, 3.1542477963071427, 1.8333333333333333, 0, 0.0, 0, 30, 30, 0, 0, 0, 0.0
24.0, 0, 3.165499113436568, 2.2499999999999996, 0.08333333333333333, 0.0, 0, 29, 30, 1, 0, 0, 0.0
25.0, 0, 3.631277797968387, 2.6333333333333346, 0.1, 0.0, 0, 32, 34, 1, 0, 0, 0.0
26.0, 0, 3.659703431714957, 2.933333333333334, 0.23333333333333334, 0.0, 0, 30, 34, 2, 0, 1, 0.016666666666666666
27.0, 0, 3.6539415616316484, 3.4333333333333327, 0, 0.0, 0, 32, 36, 0, 0.016666666666666666, 1, 0.03333333333333333
28.0, 0, 3.6182623394839886, 3.966666666666665, 0, 0.0, 0, 32, 36, 0, 0.03333333333333333, 2, 0.06666666666666667
29.0, 0, 3.67612574895462, 4.166666666666666, 0.3333333333333333, 0.0, 0, 30, 36, 2, 0.06666666666666667, 2, 0.1
30.0, 0, 4.0059224496805355, 4.666666666666665, 0, 0.0, 0, 34, 40, 0, 0.1, 2, 0.13333333333333333
31.0, 0, 4.048128090970887, 5.233333333333335, 0, 0.0, 0, 34, 40, 0, 0.13333333333333333, 3, 0.18333333333333335
32.0, 0, 4.01814423550372, 5.583333333333335, 0.21666666666666667, 0.0, 0, 35, 42, 1, 0.18333333333333335, 3, 0.23333333333333334
33.0, 1, 4.0208592751346925, 6.166666666666668, 0, 0.0, 1, 35, 42, 0, 0.23333333333333334, 0, 0.0
34.0, 0, 3.388090278766799, 5.750000000000001, 1.0, 0.0, 0, 31, 42, 4, 0, 1, 0.016666666666666666
35.0, 0, 3.8465256797038134, 6.266666666666666, 0, 0.0, 0, 35, 46, 0, 0.016666666666666666, 1, 0.03333333333333333
36.0, 0, 3.9270973834917733, 6.849999999999999, 0, 0.0, 0, 35, 46, 0, 0.03333333333333333, 2, 0.06666666666666667
37.0, 0, 3.5966180465367747, 6.833333333333331, 0.6, 0.0, 0, 35, 48, 2, 0.06666666666666667, 3, 0.11666666666666667
38.0, 0, 3.6225981127589604, 7.416666666666665, 0, 0.0, 0, 35, 48, 0, 0.11666666666666667, 3, 0.16666666666666669
39.0, 0, 3.6954414380249396, 7.999999999999998, 0, 0.0, 0, 35, 48, 0, 0.16666666666666669, 5, 0.25
40.0, 0, 4.0366895183274, 7.883333333333331, 0.7, 0.0, 0, 37, 52, 2, 0.25, 5, 0.33333333333333337
41.0, 0, 3.984906534478621, 8.499999999999996, 0, 0.0, 0, 37, 52, 0, 0.33333333333333337, 5, 0.41666666666666663
42.0, 0, 3.964990907958711, 9.116666666666667, 0, 0.0, 0, 39, 54, 0, 0.41666666666666663, 7, 0.5333333333333333
43.0, 0, 3.957718639657603, 9.76666666666667, 0, 0.0, 0, 39, 54, 0, 0.5333333333333333, 9, 0.6833333333333333
44.0, 0, 4.0511027970449645, 10.416666666666666, 0, 0.0, 0, 39, 54, 0, 0.6833333333333332, 9, 0.8333333333333333
45.0, 0, 4.357654359509059, 10.650000000000002, 0.4166666666666667, 0.0, 0, 42, 58, 1, 0.8333333333333333, 9, 0.9833333333333334
46.0, 1, 4.31666733078169, 11.350000000000001, 0, 0.0, 1, 42, 58, 0, 0.9833333333333334, 7, 0.46666666666666673
47.0, 0, 4.170458591015119, 10.183333333333332, 1.8666666666666667, 0.0, 0, 40, 60, 4, 0.4666666666666667, 4, 0.16666666666666666
48.0, 0, 4.229517927324962, 10.850000000000001, 0, 0.0, 0, 40, 60, 0, 0.6, 2, 0.05
49.0, 0, 4.361518953683636, 11.516666666666664, 0, 0.0, 0, 40, 60, 0, 0.75, 1, 0.05
50.0, 0, 4.513807832440976, 11.15, 1.0333333333333334, 0.0, 0, 42, 64, 2, 0.6000000000000001, 1, 0.06666666666666667
51.0, 0, 4.434044447418165, 11.316666666666672, 0.5333333333333333, 0.0, 0, 41, 64, 1, 0.5666666666666667, 2, 0.09999999999999999
52.0, 0, 4.337537795672416, 10.899999999999999, 1.1, 0.0, 0, 41, 66, 2, 0.36666666666666664, 3, 0.15
53.0, 0, 4.307823440299289, 10.516666666666667, 1.0666666666666669, 0.0, 0, 39, 64, 2, 0.35000000000000003, 3, 0.2
54.0, 0, 4.324503155624349, 11.166666666666664, 0, 0.0, 0, 39, 62, 0, 0.43333333333333335, 3, 0.25
55.0, 0, 4.409356263043257, 10.216666666666667, 1.6, 0.0, 0, 40, 66, 3, 0.25, 3, 0.3
56.0, 0, 4.42077760364362, 10.883333333333335, 0, 0.0, 0, 40, 66, 0, 0.3, 5, 0.3833333333333333
57.0, 0, 4.5627130000332565, 11.549999999999999, 0, 0.0, 0, 42, 66, 0, 0.3833333333333333, 5, 0.4666666666666667
58.0, 0, 4.641420381988024, 12.250000000000002, 0, 0.0, 0, 42, 66, 0, 0.4666666666666667, 7, 0.5833333333333334
59.0, 1, 4.711957385793352, 12.949999999999996, 0, 0.0, 1, 42, 66, 0, 0.5833333333333334, 6, 0.21666666666666667
60.0, 0, 4.510909880012283, 11.316666666666668, 2.3333333333333335, 0.0, 0, 42, 70, 4, 0.21666666666666667, 6, 0.25
61.0, 0, 4.514581514908699, 12.01666666666667, 0, 0.0, 0, 42, 69, 0, 0.3333333333333333, 7, 0.36666666666666664
62.0, 0, 4.573364114941061, 12.716666666666665, 0, 0.0, 0, 44, 71, 0, 0.4666666666666667, 8, 0.5
