count,action,delay,duration,duration_of_vehicles_left,emergency,flickering,num_of_vehicles_at_entering,num_of_vehicles_in_system,num_of_vehicles_left,partial_duration,queue_length,wait_time
20.0, 0, 3.257340492246434, 0.6666666666666671, 0, 0.0, 0, 40, 40, 0, 0, 0, 0.0
21.0, 0, 3.0511650081997947, 1.3333333333333341, 0, 0.0, 0, 40, 40, 0, 0, 0, 0.0
22.0, 0, 2.8580918595039306, 2.000000000000001, 0, 0.0, 0, 40, 40, 0, 0, 0, 0.0
23.0, 0, 2.7602464857497515, 2.6666666666666683, 0, 0.0, 0, 40, 40, 0, 0, 0, 0.0
24.0, 0, 2.749625295808092, 3.166666666666668, 0.16666666666666666, 0.0, 0, 38, 40, 2, 0, 0, 0.0
25.0, 0, 2.7101121747317176, 3.800000000000002, 0, 0.0, 0, 38, 40, 0, 0, 0, 0.0
26.0, 0, 2.7750658489335835, 4.2, 0.23333333333333334, 0.0, 0, 36, 40, 2, 0, 1, 0.016666666666666666
27.0, 0, 2.7937648575707033, 4.800000000000002, 0, 0.0, 0, 36, 40, 0, 0.016666666666666666, 2, 0.05
28.0, 0, 2.883182987875644, 5.100000000000001, 0.3, 0.0, 0, 34, 40, 2, 0.05, 3, 0.1
29.0, 0, 2.9438229513823106, 5.666666666666668, 0, 0.0, 0, 34, 40, 0, 0.1, 3, 0.15
30.0, 0, 3.087310280922713, 6.233333333333334, 0, 0.0, 0, 34, 40, 0, 0.15, 6, 0.25
31.0, 0, 3.1619213705965095, 6.400000000000003, 0.4, 0.0, 0, 32, 40, 2, 0.25, 6, 0.35
32.0, 0, 3.3706040217315234, 6.933333333333336, 0, 0.0, 0, 32, 40, 0, 0.35, 7, 0.4666666666666667
33.0, 1, 3.69849994213977, 7.466666666666668, 0, 0.0, 1, 32, 40, 0, 0.4666666666666667, 4, 0.18333333333333332
34.0, 0, 3.757631836718243, 7.0, 1.0, 0.0, 0, 28, 40, 4, 0.18333333333333332, 1, 0.016666666666666666
35.0, 0, 4.148442946279289, 7.466666666666666, 0, 0.0, 0, 28, 40, 0, 0.26666666666666666, 1, 0.016666666666666666
36.0, 0, 4.635527485079506, 7.933333333333331, 0, 0.0, 0, 28, 40, 0, 0.3666666666666667, 3, 0.06666666666666667
37.0, 0, 4.956383079986212, 7.799999999999997, 0.6, 0.0, 0, 26, 40, 2, 0.3, 4, 0.13333333333333333
38.0, 0, 5.379584444376847, 7.599999999999996, 0.6333333333333333, 0.0, 0, 24, 40, 2, 0.2, 5, 0.21666666666666667
39.0, 0, 5.884777165485463, 7.9999999999999964, 0, 0.0, 0, 24, 40, 0, 0.3, 6, 0.31666666666666665
40.0, 0, 6.164850537642405, 7.349999999999997, 1.0499999999999998, 0.0, 0, 21, 40, 3, 0.31666666666666665, 6, 0.4166666666666667
41.0, 0, 6.586555386486643, 7.3333333333333295, 0.36666666666666664, 0.0, 0, 20, 40, 1, 0.41666666666666663, 8, 0.55
42.0, 0, 6.743542356060216, 6.900000000000003, 0.7666666666666667, 0.0, 0, 18, 40, 2, 0.55, 9, 0.7000000000000001
43.0, 0, 7.165381655288835, 7.200000000000002, 0, 0.0, 0, 18, 40, 0, 0.7, 11, 0.8833333333333334
44.0, 0, 7.557846448156351, 7.500000000000002, 0, 0.0, 0, 18, 40, 0, 0.8833333333333334, 14, 1.1166666666666667
45.0, 0, 7.941411588879046, 7.800000000000003, 0, 0.0, 0, 18, 40, 0, 1.1166666666666667, 15, 1.3666666666666667
46.0, 1, 7.942253809327615, 8.100000000000001, 0, 0.0, 1, 18, 40, 0, 1.366666666666667, 12, 0.9000000000000001
47.0, 0, 7.943125072406592, 6.533333333333334, 1.8666666666666667, 0.0, 0, 14, 40, 4, 0.9000000000000001, 10, 0.5833333333333334
48.0, 0, 7.846916809049131, 6.766666666666667, 0, 0.0, 0, 14, 40, 0, 1.1333333333333333, 6, 0.3833333333333333
49.0, 0, 7.725782297227067, 7.0, 0, 0.0, 0, 14, 40, 0, 1.366666666666667, 6, 0.48333333333333334
50.0, 0, 7.686705807741303, 5.166666666666667, 2.066666666666667, 0.0, 0, 10, 40, 4, 0.9166666666666667, 6, 0.5833333333333334
51.0, 0, 7.545924546148169, 5.333333333333333, 0, 0.0, 0, 10, 40, 0, 1.0833333333333333, 6, 0.6833333333333333
52.0, 0, 7.446761867256365, 5.499999999999999, 0, 0.0, 0, 10, 38, 0, 1.25, 6, 0.7833333333333333
53.0, 0, 4.0, 3.3999999999999995, 2.2666666666666666, 0.0, 0, 6, 38, 4, 0.7833333333333333, 6, 0.8833333333333333
54.0, 0, 4.0, 3.5000000000000004, 0, 0.0, 0, 6, 37, 0, 0.8833333333333333, 6, 0.9833333333333333
55.0, 0, 4.0, 3.6, 0, 0.0, 0, 6, 36, 0, 0.9833333333333333, 6, 1.0833333333333333
56.0, 0, 4.0, 3.7, 0, 0.0, 0, 6, 34, 0, 1.0833333333333333, 6, 1.1833333333333333
57.0, 0, 4.0, 3.8, 0, 0.0, 0, 6, 34, 0, 1.1833333333333333, 6, 1.2833333333333334
58.0, 0, 4.0, 3.9, 0, 0.0, 0, 6, 34, 0, 1.2833333333333332, 6, 1.3833333333333335
59.0, 1, 3.9128195097374845, 3.333333333333333, 0.6666666666666666, 0.0, 1, 5, 33, 1, 1.1166666666666667, 2, 0.48333333333333334
60.0, 0, 1.93006496965228, 1.3666666666666667, 2.05, 0.0, 0, 2, 33, 3, 0.48333333333333334, 0, 0.0
61.0, 0, 1.8666960606077634, 1.4, 0, 0.0, 0, 2, 32, 0, 0.5166666666666666, 0, 0.0
62.0, 0, 1.8172739165147136, 1.4333333333333333, 0, 0.0, 0, 2, 32, 0, 0.55, 0, 0.0
63.0, 0, 0.0, 0, 1.4666666666666666, 0.0, 0, 0, 32, 2, 0, 0, 0.0
64.0, 0, 0.0, 0, 0, 0.0, 0, 0, 32, 0, 0, 0, 0.0
65.0, 0, 0.0, 0, 0, 0.0, 0, 0, 32, 0, 0, 0, 0.0
66.0, 0, 0.0, 0, 0, 0.0, 0, 0, 32, 0, 0, 0, 0.0
67.0, 0, 0.0, 0, 0, 0.0, 0, 0, 32, 0, 0, 0, 0.0
68.0, 0, 0.0, 0, 0, 0.0, 0, 0, 32, 0, 0, 0, 0.0
69.0, 0, 0.0, 0, 0, 0.0, 0, 0, 31, 0, 0, 0, 0.0
70.0, 0, 0.0, 0, 0, 0.0, 0, 0, 28, 0, 0, 0, 0.0
71.0, 0, 0.0, 0, 0, 0.0, 0, 0, 28, 0, 0, 0, 0.0
72.0, 1, 0.0, 0, 0, 0.0, 1, 0, 24, 0, 0, 0, 0.0
73.0, 0, 0.0, 0, 0, 0.0, 0, 0, 22, 0, 0, 0, 0.0
74.0, 0, 0.0, 0, 0, 0.0, 0, 0, 20, 0, 0, 0, 0.0
75.0, 0, 0.0, 0, 0, 0.0, 0, 0, 18, 0, 0, 0, 0.0
76.0, 0, 0.0, 0, 0, 0.0, 0, 0, 18, 0, 0, 0, 0.0
77.0, 0, 0.0, 0, 0, 0.0, 0, 0, 18, 0, 0, 0, 0.0
78.0, 0, 0.0, 0, 0, 0.0, 0, 0, 18, 0, 0, 0, 0.0
79.0, 0, 0.0, 0, 0, 0.0, 0, 0, 18, 0, 0, 0, 0.0
80.0, 0, 0.0, 0, 0, 0.0, 0, 0, 18, 0, 0, 0, 0.0
81.0, 0, 0.0, 0, 0, 0.0, 0, 0, 18, 0, 0, 0, 0.0
82.0, 0, 0.0, 0, 0, 0.0, 0, 0, 17, 0, 0, 0, 0.0
83.0, 0, 0.0, 0, 0, 0.0, 0, 0, 14, 0, 0, 0, 0.0
84.0, 0, 0.0, 0, 0, 0.0, 0, 0, 13, 0, 0, 0, 0.0
85.0, 1, 0.0, 0, 0, 0.0, 1, 0, 10, 0, 0, 0, 0.0
86.0, 0, 0.0, 0, 0, 0.0, 0, 0, 6, 0, 0, 0, 0.0
87.0, 0, 0.0, 0, 0, 0.0, 0, 0, 6, 0, 0, 0, 0.0
88.0, 0, 0.0, 0, 0, 0.0, 0, 0, 6, 0, 0, 0, 0.0
89.0, 0, 0.0, 0, 0, 0.0, 0, 0, 6, 0, 0, 0, 0.0
90.0, 0, 0.0, 0, 0, 0.0, 0, 0, 6, 0, 0, 0, 0.0
91.0, 0, 0.0, 0, 0, 0.0, 0, 0, 6, 0, 0, 0, 0.0
92.0, 0, 0.0, 0, 0, 0.0, 0, 0, 6, 0, 0, 0, 0.0
93.0, 0, 0.0, 0, 0, 0.0, 0, 0, 6, 0, 0, 0, 0.0
94.0, 0, 0.0, 0, 0, 0.0, 0, 0, 6, 0, 0, 0, 0.0
95.0, 0, 0.0, 0, 0, 0.0, 0, 0, 6, 0, 0, 0, 0.0
96.0, 0, 0.0, 0, 0, 0.0, 0, 0, 2, 0, 0, 0, 0.0
97.0, 0, 0.0, 0, 0, 0.0, 0, 0, 1, 0, 0, 0, 0.0
98.0, 1, 0.0, 0, 0, 0.0, 1, 0, 0, 0, 0, 0, 0.0
99.0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0
100.0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0
101.0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0
102.0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0
